device,eastern_time,var,name,value
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:45:20 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:45:21 2019,air_carbon_dioxide_ppm,T6713-Top,897.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:50:18 2019,air_humidity_percent,SHT25-Top,15.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:50:19 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:50:21 2019,air_carbon_dioxide_ppm,T6713-Top,578.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:55:23 2019,air_carbon_dioxide_ppm,T6713-Top,568.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:55:23 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:55:24 2019,air_humidity_percent,SHT25-Top,15.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:05:25 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:05:29 2019,air_carbon_dioxide_ppm,T6713-Top,626.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:05:30 2019,air_humidity_percent,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:10:25 2019,air_carbon_dioxide_ppm,T6713-Top,673.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:10:25 2019,air_humidity_percent,SHT25-Top,19.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:10:26 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:15:25 2019,air_temperature_celcius,SHT25-Top,24.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:15:26 2019,air_carbon_dioxide_ppm,T6713-Top,620.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:15:28 2019,air_humidity_percent,SHT25-Top,20.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:20:28 2019,air_temperature_celcius,SHT25-Top,25.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:20:29 2019,air_humidity_percent,SHT25-Top,18.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:20:30 2019,air_carbon_dioxide_ppm,T6713-Top,590.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:25:26 2019,air_carbon_dioxide_ppm,T6713-Top,608.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:25:28 2019,air_temperature_celcius,SHT25-Top,26.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:25:32 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:30:26 2019,air_carbon_dioxide_ppm,T6713-Top,613.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:30:29 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:30:32 2019,air_temperature_celcius,SHT25-Top,27.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:35:30 2019,air_carbon_dioxide_ppm,T6713-Top,623.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:35:30 2019,air_temperature_celcius,SHT25-Top,27.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:35:31 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:40:29 2019,air_carbon_dioxide_ppm,T6713-Top,662.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:40:30 2019,air_humidity_percent,SHT25-Top,17.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:40:32 2019,air_temperature_celcius,SHT25-Top,27.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:45:32 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:45:32 2019,air_temperature_celcius,SHT25-Top,27.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:45:33 2019,air_carbon_dioxide_ppm,T6713-Top,658.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:50:30 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:50:31 2019,air_carbon_dioxide_ppm,T6713-Top,641.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:50:31 2019,air_temperature_celcius,SHT25-Top,27.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:55:29 2019,air_temperature_celcius,SHT25-Top,27.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:55:31 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 14:55:32 2019,air_carbon_dioxide_ppm,T6713-Top,650.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:00:31 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:00:32 2019,air_carbon_dioxide_ppm,T6713-Top,654.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:00:33 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:05:31 2019,air_carbon_dioxide_ppm,T6713-Top,646.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:05:32 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:05:33 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:10:31 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:10:33 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:10:34 2019,air_carbon_dioxide_ppm,T6713-Top,652.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:15:35 2019,air_carbon_dioxide_ppm,T6713-Top,652.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:15:36 2019,air_temperature_celcius,SHT25-Top,28.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:15:37 2019,air_humidity_percent,SHT25-Top,16.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:20:32 2019,air_carbon_dioxide_ppm,T6713-Top,666.00
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 15:20:37 2019,air_humidity_percent,SHT25-Top,16.00
