device,eastern_time,var,URL
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:12 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A11Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:12 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A12Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:13 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A13Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:13 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A13Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:19 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A19Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:19 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A19Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:27 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A27Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:28 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A27Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:28 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A27Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:34 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A34Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:35 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A34Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:35 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A35Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:39 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A39Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:46:39 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A46%3A39Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 13:50:21 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T17%3A50%3A21Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 17:06:44 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T21%3A06%3A44Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 18:07:09 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-12T22%3A07%3A09Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 20:07:02 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T00%3A07%3A01Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 21:07:09 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T01%3A07%3A08Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Tue Mar 12 22:07:22 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T02%3A07%3A20Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 07:06:59 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T11%3A06%3A58Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 07:06:59 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T11%3A06%3A58Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 08:07:10 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T12%3A07%3A09Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 09:07:06 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T13%3A07%3A05Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 10:07:09 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T14%3A07%3A09Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 11:07:22 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T15%3A07%3A21Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 12:07:28 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T16%3A07%3A27Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 13:07:28 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T17%3A07%3A28Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 14:07:39 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T18%3A07%3A38Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 15:07:40 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T19%3A07%3A39Z.png
EDU-30A77B2D-f4-5e-ab-64-50-92,Wed Mar 13 17:06:55 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30A77B2D-f4-5e-ab-64-50-92_Camera-Top_2019-03-13T21%3A06%3A55Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Tue Mar 12 16:06:23 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-12T20%3A06%3A22Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Tue Mar 12 16:06:25 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-12T20%3A06%3A25Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Tue Mar 12 16:06:28 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-12T20%3A06%3A28Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Tue Mar 12 16:06:28 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-12T20%3A06%3A28Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Tue Mar 12 16:06:31 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-12T20%3A06%3A31Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Tue Mar 12 16:06:34 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-12T20%3A06%3A34Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Wed Mar 13 10:07:24 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-13T14%3A07%3A24Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Wed Mar 13 11:07:41 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-13T15%3A07%3A41Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Wed Mar 13 12:07:42 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-13T16%3A07%3A42Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Wed Mar 13 13:07:44 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-13T17%3A07%3A44Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Wed Mar 13 15:07:51 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-13T19%3A07%3A51Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Wed Mar 13 17:07:00 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-13T21%3A07%3A00Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Wed Mar 13 18:07:04 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-13T22%3A07%3A03Z.png
EDU-30EB6274-f4-5e-ab-66-6f-05,Wed Mar 13 19:07:16 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-30EB6274-f4-5e-ab-66-6f-05_Camera-Top_2019-03-13T23%3A07%3A15Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Tue Mar 12 11:25:48 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-12T15%3A25%3A48Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Tue Mar 12 17:06:55 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-12T21%3A06%3A55Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 07:07:03 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T11%3A07%3A03Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 08:07:15 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T12%3A07%3A15Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 09:07:18 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T13%3A07%3A18Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 10:07:25 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T14%3A07%3A24Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 11:07:34 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T15%3A07%3A34Z.png
EDU-32B65C51-50-65-83-d0-fb-bf,Wed Mar 13 12:07:53 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-32B65C51-50-65-83-d0-fb-bf_Camera-Top_2019-03-13T16%3A07%3A52Z.png
